MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm
16.1,27.1,0.0,8.0,11.0,43.0,15.0,20.0,64.0,43.0,1013.4,1011.6,6.0,5.0,20.7,25.2
16.0,26.55,0.0,6.8,9.9,41.0,13.0,19.0,69.0,47.0,1015.7,1014.1,6.0,5.0,19.9,24.9
14.7,24.9,0.0,5.4,8.5,39.0,13.0,17.0,75.0,50.0,1017.8,1016.1,6.0,6.0,18.3,23.5
11.4,21.7,0.0,3.4,7.4,35.0,13.0,17.0,73.0,52.0,1021.4,1019.0,6.0,6.0,16.2,20.4
8.3,18.3,0.0,2.0,5.5,35.0,13.0,15.0,77.0,55.0,1021.5,1019.1,6.0,6.0,12.7,17.2
6.3,15.7,0.0,1.4,5.2,35.0,13.0,15.0,84.0,61.0,1022.2,1020.4,6.0,6.0,10.1,14.6
5.5,15.2,0.0,1.6,5.6,39.0,13.0,17.0,81.0,58.0,1021.7,1019.6,6.0,6.0,9.3,14.149999999999999
5.9,16.3,0.0,2.4,7.4,41.0,15.0,19.0,73.0,51.0,1019.3,1017.3,5.0,6.0,10.75,15.2
7.9,18.7,0.0,3.4,8.1,43.0,17.0,19.0,64.0,49.0,1018.0,1015.3,5.5,6.0,13.55,17.2
9.7,21.0,0.0,4.8,9.2,43.0,15.0,19.0,64.0,46.0,1018.8,1016.8,6.0,6.0,15.0,19.4
12.7,23.4,0.0,6.2,9.25,43.0,15.0,19.0,64.0,46.0,1015.8499999999999,1014.0,6.5,6.0,17.7,21.7
14.0,24.6,0.0,7.1,9.649999999999999,43.0,15.0,19.0,63.0,46.0,1013.8,1011.9,6.0,6.0,19.0,22.8
